"","LatitudeMeasure","LongitudeMeasure","conc"
"568",47.548376,-116.168491,3
"584",47.548376,-116.168491,1.5
"588",47.548376,-116.168491,0.5
"589",47.548376,-116.168491,4.5
"597",47.548376,-116.168491,2
"598",47.550779,-116.199092,2.6
"599",47.93322975,-118.09737614,0.5
"600",47.93322975,-118.09737614,1
"601",47.93322975,-118.09737614,10
"603",47.93322975,-118.09737614,50
"605",47.93322975,-118.09737614,5
"606",47.93322975,-118.09737614,30
"608",47.93322975,-118.09737614,20
"613",47.93322975,-118.09737614,2
"618",47.93322975,-118.09737614,3
"622",47.5466665,-116.1668791,3
"623",47.5466665,-116.1668791,5
"627",47.5466665,-116.1668791,4.5
"630",47.5466665,-116.1668791,0.5
"632",47.5466665,-116.1668791,1.5
"633",47.5479058,-116.1423455,10
"637",47.5479058,-116.1423455,2.4
"638",47.5479058,-116.1423455,0.39
"639",47.5479058,-116.1423455,1
"643",47.5479058,-116.1423455,4.3
"644",47.5479058,-116.1423455,5
"646",47.5479058,-116.1423455,3.5
"650",47.5479058,-116.1423455,3
"660",47.5479058,-116.1423455,4.5
"661",47.5479058,-116.1423455,0.5
"672",47.547586,-116.160011,5
"674",47.547586,-116.160011,4.5
"675",47.547586,-116.160011,1.5
"676",40.223566955,-111.034050038,0.707106781187
"681",39.535934439,-110.413068095,3.53553390593
"683",32.1659306,-110.8917472,2.12132034356
"685",32.1659306,-110.8917472,7.07106781187
"690",37.581662767,-110.010961657,3.53553390593
"702",46.4799,-113.1071,1
"703",47.475971728,-115.87411836,0.5
"704",47.475971728,-115.87411836,0.75
"705",47.475971728,-115.87411836,0.71
"706",47.475971728,-115.87411836,0.49
"708",47.475971728,-115.87411836,0.61
"709",47.475971728,-115.87411836,0.81
"710",47.475971728,-115.87411836,0.52
"711",47.475971728,-115.87411836,0.02
"712",47.475971728,-115.87411836,0.1
"714",47.475971728,-115.87411836,0.64
"717",47.475971728,-115.87411836,0.72
"719",34.7907556,-113.3978667,3.53553390593
"720",47.503693,-115.880409,0.059
"721",47.503693,-115.880409,0.03
"722",47.503693,-115.880409,0.043
"723",47.503693,-115.880409,0.051
"724",47.503693,-115.880409,0.02
"725",47.503693,-115.880409,0.1
"726",47.438518229,-116.17395059,0.21
"727",47.438518229,-116.17395059,0.18
"728",47.438518229,-116.17395059,0.17
"729",47.438518229,-116.17395059,0.2
"730",47.438518229,-116.17395059,0.23
"732",47.438518229,-116.17395059,0.02
"733",45.876602,-106.623606,3.53553390593
"734",45.501748,-106.163211,2.12132034356
"745",45.501748,-106.163211,2
"747",45.501748,-106.163211,0.707106781187
"748",45.501748,-106.163211,1
"749",47.54790584,-116.14234557,1
"751",47.54790584,-116.14234557,0.75
"753",47.54790584,-116.14234557,0.707106781187
"754",47.54790584,-116.14234557,0.42
"756",47.54790584,-116.14234557,1.4
"757",47.54790584,-116.14234557,5.1
"758",47.54790584,-116.14234557,0.55
"762",47.54790584,-116.14234557,4.3
"763",37.489735,-109.518072,0.9
"764",37.489735,-109.518072,0.8
"765",37.489735,-109.518072,0.7
"766",37.489735,-109.518072,0.0707106781187
"767",37.489735,-109.518072,1.2
"768",37.489735,-109.518072,1.1
"769",37.489735,-109.518072,0.353553390593
"770",37.489735,-109.518072,0.141421356237
"771",37.489735,-109.518072,10.4
"773",37.489735,-109.518072,0.707106781187
"774",37.489735,-109.518072,11.4
"776",37.489735,-109.518072,0.6
"777",45.530012,-106.169311,2.12132034356
"788",45.530012,-106.169311,0.707106781187
"792",37.5238671,-109.5381037,2.2
"793",37.5238671,-109.5381037,2
"794",37.5238671,-109.5381037,2.6
"795",37.5238671,-109.5381037,2.7
"797",37.5238671,-109.5381037,3.2
"799",37.5238671,-109.5381037,3.8
"802",37.5238671,-109.5381037,0.565685424949
"803",45.53004,-106.169306,2.12132034356
"805",45.53004,-106.169306,3
"813",45.53004,-106.169306,0.707106781187
"815",45.53004,-106.169306,1
"817",37.523608,-109.537635,3.6
"818",37.523608,-109.537635,6.7
"819",37.523608,-109.537635,2.6
"820",37.523608,-109.537635,1.6
"821",37.523608,-109.537635,4.9
"822",37.523608,-109.537635,3.4
"823",37.523608,-109.537635,1.3
"824",37.523608,-109.537635,2.9
"825",47.54818,-116.3458,3
"826",47.54818,-116.3458,0.44
"827",47.54818,-116.3458,7.3
"828",47.54818,-116.3458,8.8
"829",47.54818,-116.3458,1
"832",47.54818,-116.3458,44.6
"834",47.54818,-116.3458,42.2
"837",47.54818,-116.3458,76.9
"838",47.54818,-116.3458,43.6
"841",47.54818,-116.3458,12
"843",47.54818,-116.3458,3.8
"844",47.54818,-116.3458,10.8
"847",47.54818,-116.3458,6.1
"854",47.54818,-116.3458,0.76
"860",47.54818,-116.3458,0.92
"866",47.54818,-116.3458,1.8
"867",47.54818,-116.3458,46
"868",47.54818,-116.3458,7.4
"871",47.54818,-116.3458,0.75
"872",47.54818,-116.3458,18.6
"873",47.54818,-116.3458,4.9
"878",47.54818,-116.3458,6.2
"879",47.54818,-116.3458,1.1
"880",47.54818,-116.3458,4.2
"883",47.54818,-116.3458,0.39
"884",47.915833,-108.533056,3.53553390593
"886",47.5477054,-116.15639137,41.3
"887",47.5477054,-116.15639137,46.5
"888",47.5477054,-116.15639137,50.4
"889",47.5477054,-116.15639137,44.8
"890",47.5477054,-116.15639137,42.6
"891",47.5477054,-116.15639137,43.7
"892",47.5477054,-116.15639137,50.1
"893",47.5477054,-116.15639137,47.8
"894",47.5477054,-116.15639137,46.8
"895",47.5477054,-116.15639137,45.7
"896",47.5477054,-116.15639137,47
"897",47.5477054,-116.15639137,49.3
"898",47.5477054,-116.15639137,45.9
"899",47.5477054,-116.15639137,39.6
"900",47.5477054,-116.15639137,44.3
"901",47.5477054,-116.15639137,40.2
"902",35.90792,-90.80036,0.707106781187
"903",35.90792,-90.80036,0.353553390593
"906",35.90792,-90.80036,3.53553390593
"907",47.542127,-116.164911,1
